Run_ID,Experiment,Replica,Tool_ID,Group,Subgroup,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,CTime,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz,F
1_061_B2_14_e,1,2,61,2,5,e,14,0.0,12,90.4,89.4,na,2,0.5,350,0.1,0.625,2.743,0.41,2.119,102.1,3.019,143.5,69.57,71.62,174.8189329
1_061_B2_14_e,1,2,61,2,5,e,14,0.0,12,90.4,89.4,na,3,0.5,350,0.1,0.616,2.657,0.47,2.104,100.6,2.921,143.5,69.57,71.62,174.8189329
1_061_B2_14_e,1,2,61,2,5,e,14,0.0,12,90.4,89.4,na,4,0.5,350,0.1,0.605,2.606,0.438,2.077,100.1,2.728,143.5,69.57,71.62,174.8189329
1_061_B2_14_e,1,2,61,2,5,e,14,0.0,12,90.4,89.4,na,5,0.5,350,0.1,0.622,2.747,0.338,2.103,99.1,2.84,143.5,69.57,71.62,174.8189329
1_061_B2_14_e,1,2,61,2,5,e,14,0.0,12,90.4,89.4,na,6,0.5,350,0.1,0.622,2.708,0.456,2.11,101.1,2.808,143.5,69.57,71.62,174.8189329
1_061_B2_13_f,1,2,61,2,5,f,13,0.0,12,90.4,89.4,na,1,0.5,350,0.07,0.369,1.575,-0.035,1.787,70.0,1.736,112.4,57.46,63.16,141.1545153
1_061_B2_13_f,1,2,61,2,5,f,13,0.0,12,90.4,89.4,na,2,0.5,350,0.07,0.407,1.724,0.011,1.758,69.9,1.917,112.4,57.46,63.16,141.1545153
1_061_B2_13_f,1,2,61,2,5,f,13,0.0,12,90.4,89.4,na,3,0.5,350,0.07,0.403,1.675,-0.064,1.728,71.2,1.787,112.4,57.46,63.16,141.1545153
1_061_B2_13_f,1,2,61,2,5,f,13,0.0,12,90.4,89.4,na,4,0.5,350,0.07,0.404,1.531,-0.112,1.615,70.9,1.612,112.4,57.46,63.16,141.1545153
1_061_B2_13_f,1,2,61,2,5,f,13,0.0,12,90.4,89.4,na,5,0.5,350,0.07,0.403,1.663,-0.017,1.723,70.4,1.798,112.4,57.46,63.16,141.1545153
1_061_B2_13_f,1,2,61,2,5,f,13,0.0,12,90.4,89.4,na,6,0.5,350,0.07,0.362,1.54,0.058,1.79,70.0,1.674,112.4,57.46,63.16,141.1545153
1_061_B2_16_g,1,2,61,2,6,g,16,0.0,12,90.4,89.4,na,1,0.5,390,0.07,0.255,1.171,-0.196,1.984,48.7,1.314,116.2,58.82,65.47,145.7688351
1_061_B2_16_g,1,2,61,2,6,g,16,0.0,12,90.4,89.4,na,2,0.5,390,0.07,0.258,1.111,-0.256,1.916,52.3,1.214,116.2,58.82,65.47,145.7688351
1_061_B2_16_g,1,2,61,2,6,g,16,0.0,12,90.4,89.4,na,3,0.5,390,0.07,0.267,1.209,-0.165,1.952,49.4,1.285,116.2,58.82,65.47,145.7688351
1_061_B2_16_g,1,2,61,2,6,g,16,0.0,12,90.4,89.4,na,4,0.5,390,0.07,0.295,1.431,-0.074,2.183,52.4,1.736,116.2,58.82,65.47,145.7688351
1_061_B2_16_g,1,2,61,2,6,g,16,0.0,12,90.4,89.4,na,5,0.5,390,0.07,0.288,1.24,-0.229,1.898,56.4,1.318,116.2,58.82,65.47,145.7688351
1_061_B2_16_g,1,2,61,2,6,g,16,0.0,12,90.4,89.4,na,6,0.5,390,0.07,0.275,1.229,-0.083,2.061,47.5,1.405,116.2,58.82,65.47,145.7688351
1_061_B2_17_h,1,2,61,2,6,h,17,0.0,12,90.4,89.4,na,1,0.5,390,0.1,0.413,2.04,-0.025,2.268,78.8,2.272,144.9,69.67,69.12,175.0071236
1_061_B2_17_h,1,2,61,2,6,h,17,0.0,12,90.4,89.4,na,2,0.5,390,0.1,0.396,1.974,0.233,2.399,60.0,2.086,144.9,69.67,69.12,175.0071236
1_061_B2_17_h,1,2,61,2,6,h,17,0.0,12,90.4,89.4,na,3,0.5,390,0.1,0.389,1.962,0.185,2.329,73.7,2.074,144.9,69.67,69.12,175.0071236
1_061_B2_17_h,1,2,61,2,6,h,17,0.0,12,90.4,89.4,na,4,0.5,390,0.1,0.367,1.901,0.245,2.39,87.3,1.981,144.9,69.67,69.12,175.0071236
1_061_B2_17_h,1,2,61,2,6,h,17,0.0,12,90.4,89.4,na,5,0.5,390,0.1,0.406,2.006,0.001,2.307,67.3,2.187,144.9,69.67,69.12,175.0071236
1_061_B2_17_h,1,2,61,2,6,h,17,0.0,12,90.4,89.4,na,6,0.5,390,0.1,0.418,1.986,-0.044,2.184,71.4,2.176,144.9,69.67,69.12,175.0071236
1_061_B2_18_i,1,2,61,2,6,i,18,0.0,12,90.4,89.4,na,1,0.5,390,0.13,0.668,3.185,0.854,2.807,131.0,3.326,177.5,82.13,74.87,209.4208772
1_061_B2_18_i,1,2,61,2,6,i,18,0.0,12,90.4,89.4,na,2,0.5,390,0.13,0.658,3.202,0.716,2.794,132.1,3.347,177.5,82.13,74.87,209.4208772
1_061_B2_18_i,1,2,61,2,6,i,18,0.0,12,90.4,89.4,na,3,0.5,390,0.13,0.662,3.252,0.88,2.87,130.7,3.381,177.5,82.13,74.87,209.4208772
1_061_B2_18_i,1,2,61,2,6,i,18,0.0,12,90.4,89.4,na,4,0.5,390,0.13,0.668,3.202,0.844,2.768,128.5,3.393,177.5,82.13,74.87,209.4208772
1_061_B2_18_i,1,2,61,2,6,i,18,0.0,12,90.4,89.4,na,5,0.5,390,0.13,0.691,3.2,0.997,2.91,132.1,3.32,177.5,82.13,74.87,209.4208772
1_061_B2_18_i,1,2,61,2,6,i,18,0.0,12,90.4,89.4,na,6,0.5,390,0.13,0.66,3.18,0.779,2.87,131.4,3.32,177.5,82.13,74.87,209.4208772
1_071_B3_20_a,1,2,71,3,7,a,20,0.0,12,89.4,87.8,na,1,0.8,310,0.1,1.014,4.001,0.127,1.753,100.8,4.233,224.2,77.48,227.5,328.6716301
1_071_B3_20_a,1,2,71,3,7,a,20,0.0,12,89.4,87.8,na,2,0.8,310,0.1,0.974,4.021,0.222,1.839,100.8,4.329,224.2,77.48,227.5,328.6716301
1_071_B3_20_a,1,2,71,3,7,a,20,0.0,12,89.4,87.8,na,3,0.8,310,0.1,0.977,3.929,0.306,1.87,98.7,4.285,224.2,77.48,227.5,328.6716301
1_071_B3_20_a,1,2,71,3,7,a,20,0.0,12,89.4,87.8,na,4,0.8,310,0.1,0.966,3.764,0.304,1.805,101.4,4.006,224.2,77.48,227.5,328.6716301
1_071_B3_20_a,1,2,71,3,7,a,20,0.0,12,89.4,87.8,na,5,0.8,310,0.1,0.929,3.799,0.255,1.862,99.0,4.106,224.2,77.48,227.5,328.6716301
1_071_B3_20_a,1,2,71,3,7,a,20,0.0,12,89.4,87.8,na,6,0.8,310,0.1,0.918,3.775,0.302,1.915,100.6,4.276,224.2,77.48,227.5,328.6716301
1_071_B3_19_b,1,2,71,3,7,b,19,0.0,12,89.4,87.8,na,1,0.8,310,0.07,0.653,2.546,0.124,1.699,69.0,2.616,165.7,62.01,122.1,214.9654393
1_071_B3_19_b,1,2,71,3,7,b,19,0.0,12,89.4,87.8,na,2,0.8,310,0.07,0.603,2.315,0.236,1.742,70.9,2.458,165.7,62.01,122.1,214.9654393
1_071_B3_19_b,1,2,71,3,7,b,19,0.0,12,89.4,87.8,na,3,0.8,310,0.07,0.615,2.371,0.121,1.704,71.1,2.614,165.7,62.01,122.1,214.9654393
1_071_B3_19_b,1,2,71,3,7,b,19,0.0,12,89.4,87.8,na,4,0.8,310,0.07,0.607,2.271,0.106,1.64,70.3,2.351,165.7,62.01,122.1,214.9654393
1_071_B3_19_b,1,2,71,3,7,b,19,0.0,12,89.4,87.8,na,5,0.8,310,0.07,0.681,2.584,0.163,1.665,69.9,2.826,165.7,62.01,122.1,214.9654393
1_071_B3_19_b,1,2,71,3,7,b,19,0.0,12,89.4,87.8,na,6,0.8,310,0.07,0.753,2.911,0.373,1.828,70.0,3.03,165.7,62.01,122.1,214.9654393
1_071_B3_21_c,1,2,71,3,7,c,21,0.0,12,89.4,87.8,na,1,0.8,310,0.13,0.924,4.522,0.643,2.657,129.7,4.724,289.6,96.77,222.1,377.5725134
1_071_B3_21_c,1,2,71,3,7,c,21,0.0,12,89.4,87.8,na,2,0.8,310,0.13,0.93,4.495,0.605,2.611,134.5,4.635,289.6,96.77,222.1,377.5725134
1_071_B3_21_c,1,2,71,3,7,c,21,0.0,12,89.4,87.8,na,3,0.8,310,0.13,0.925,4.518,0.477,2.579,133.0,4.715,289.6,96.77,222.1,377.5725134
1_071_B3_21_c,1,2,71,3,7,c,21,0.0,12,89.4,87.8,na,4,0.8,310,0.13,0.932,4.545,0.689,2.72,124.3,4.836,289.6,96.77,222.1,377.5725134
1_071_B3_21_c,1,2,71,3,7,c,21,0.0,12,89.4,87.8,na,5,0.8,310,0.13,0.924,4.591,0.539,2.629,133.5,4.736,289.6,96.77,222.1,377.5725134
1_071_B3_21_c,1,2,71,3,7,c,21,0.0,12,89.4,87.8,na,6,0.8,310,0.13,0.936,4.532,0.505,2.613,128.6,4.647,289.6,96.77,222.1,377.5725134
1_071_B3_22_d,1,2,71,3,8,d,22,0.0,12,89.4,87.8,na,1,0.8,350,0.07,0.569,2.24,0.139,1.687,70.4,2.419,172.4,59.8,126.3,221.9222612
1_071_B3_22_d,1,2,71,3,8,d,22,0.0,12,89.4,87.8,na,2,0.8,350,0.07,0.581,2.296,0.051,1.693,70.4,2.427,172.4,59.8,126.3,221.9222612
1_071_B3_22_d,1,2,71,3,8,d,22,0.0,12,89.4,87.8,na,3,0.8,350,0.07,0.584,2.256,0.083,1.637,70.9,2.434,172.4,59.8,126.3,221.9222612
1_071_B3_22_d,1,2,71,3,8,d,22,0.0,12,89.4,87.8,na,4,0.8,350,0.07,0.579,2.318,0.056,1.694,71.1,2.464,172.4,59.8,126.3,221.9222612
